model,accuracy,AUROC
xgboost_8020,0.9417167711398235,0.5922542878812143
xgboost_8020_eqClasses,0.8208264039913009,0.7961794729101177
xgboost_10Fold,0.9318810225790302,0.5790530726569161
xgboost_10Fold_eqClasses,0.7546164986155659,0.7605705219073176
xgboost_10Fold_8020Ensemble,0.9419214532429321,0.5820160096772358
xgboost_10Fold_8020Ensemble_eqClasses,0.7967250863502623,0.7945241485379906
NN_8020Ensemble,0.9379557374952028,0.5221051332995702
NN_8020Ensemble_eqClasses,0.7249584239478061,0.6974195870664394
NN_10Fold_8020Ensemble,0.940898042727389,0.5852567093609359
NN_10Fold_8020Ensemble_eqClasses,0.6084175514903416,0.702397058429555
